subdivision_code,local_num,name,abbrev,abbrev_source,kx_lexlabel,kx_abbrev_score,kx_abbrev_rule
AC,1200013,Acrelândia,ACL,1,acrelandia,"",r03-var
AC,1200054,Assis Brasil,ABL,3,assis.brasil,R,r03
AC,1200104,Brasiléia,BLI,3,brasileia,R,r03
AC,1200138,Bujari,BUJ,1,bujari,"",r01
AC,1200179,Capixaba,CPX,1,capixaba,"",r04
AC,1200203,Cruzeiro do Sul,CZU,3,cruzeiro.sul,B,r04
AC,1200252,Epitaciolândia,EPT,3,epitaciolandia,B,?
AC,1200302,Feijó,FJO,3,feijo,B,?
AC,1200328,Jordão,JDA,1,jordao,"",?
AC,1200336,Mâncio Lima,MLI,3,mancio.lima,B,?
AC,1200344,Manoel Urbano,MUO,1,manoel.urbano,"",?
AC,1200351,Marechal Thaumaturgo,MTH,1,marechal.thaumaturgo,"",?
AC,1200385,Plácido de Castro,PCY,3,placido.castro,F,?
AC,1200393,Porto Walter,PWL,1,porto.walter,"",?
AC,1200401,Rio Branco,RBO,3,rio.branco,B,?
AC,1200427,Rodrigues Alves,RAL,1,rodrigues.alves,"",?
AC,1200435,Santa Rosa do Purus,SRP,1,santa.rosa.purus,"",?
AC,1200450,Senador Guiomard,SWD,3,senador.guiomard,F,?
AC,1200500,Sena Madureira,SMD,3,sena.madureira,B,?
AC,1200609,Tarauacá,TAU,3,tarauaca,B,?
AC,1200708,Xapuri,XPI,3,xapuri,B,?
AC,1200807,Porto Acre,PAE,1,porto.acre,"",?
AL,2700102,Água Branca,ABN,1,agua.branca,"",
AL,2700201,Anadia,AAD,1,anadia,"",
AL,2700300,Arapiraca,AIR,1,arapiraca,"",
AL,2700409,Atalaia,ATL,1,atalaia,"",
AL,2700508,Barra de Santo Antônio,BNA,1,barra.santo.antonio,"",
AL,2700607,Barra de São Miguel,BDG,1,barra.sao.miguel,R,
AL,2700706,Batalha,BTH,1,batalha,"",
AL,2700805,Belém,BLX,1,belem,F,
AL,2700904,Belo Monte,BLN,1,belo.monte,"",
AL,2701001,Boca da Mata,BOD,1,boca.mata,R,
AL,2701100,Branquinha,BQH,1,branquinha,"",
AL,2701209,Cacimbinhas,CBH,1,cacimbinhas,"",
AL,2701308,Cajueiro,CJO,1,cajueiro,"",
AL,2701357,Campestre,,1,campestre,"",
AL,2701407,Campo Alegre,CLR,1,campo.alegre,"",
AL,2701506,Campo Grande,CGN,1,campo.grande,"",
AL,2701605,Canapi,CNK,1,canapi,F,
AL,2701704,Capela,CPA,1,capela,"",
AL,2701803,Carneiros,CKN,1,carneiros,F,
AL,2701902,Chã Preta,CHK,1,cha.preta,F,
AL,2702009,Coité do Nóia,CYO,1,coite.noia,F,
AL,2702108,Colônia Leopoldina,COL,1,colonia.leopoldina,"",
AL,2702207,Coqueiro Seco,,1,coqueiro.seco,"",
AL,2702306,Coruripe,CUI,1,coruripe,"",
AL,2702355,Craíbas,KIS,1,craibas,F,
AL,2702405,Delmiro Gouveia,DGA,1,delmiro.gouveia,"",
AL,2702504,Dois Riachos,DSH,1,dois.riachos,"",
AL,2702553,Estrela de Alagoas,EAL,1,estrela.alagoas,"",
AL,2702603,Feira Grande,FGE,1,feira.grande,"",
AL,2702702,Feliz Deserto,FZO,1,feliz.deserto,"",
